,date,open,high,low,close,tick_volume,spread,real_volume
4097,2017-10-04,149.355,149.906,149.037,149.372,405758,0,405757
4098,2017-10-05,149.331,149.458,147.68,147.99,384516,0,384543
4099,2017-10-06,147.987,148.031,147.044,147.186,398777,0,398776
4100,2017-10-09,147.391,148.551,146.946,148.09,310475,0,310475
4101,2017-10-10,148.051,148.521,147.736,148.475,393393,0,393401
4102,2017-10-11,148.442,148.847,147.844,148.772,356030,0,356029
4103,2017-10-12,148.718,149.163,147.297,148.959,407889,0,407898
4104,2017-10-13,148.862,149.264,148.452,148.597,416240,0,416239
4105,2017-10-16,148.502,148.977,148.169,148.648,321160,0,321168
4106,2017-10-17,148.631,149.066,147.778,148.022,390274,0,390277
4107,2017-10-18,147.948,149.12,147.864,149.109,383207,0,383210
4108,2017-10-19,149.105,149.435,147.887,148.095,455034,0,455069
4109,2017-10-20,148.039,149.831,147.986,149.707,463070,0,463070
4110,2017-10-23,150.052,150.494,149.479,149.691,394642,0,394650
4111,2017-10-24,149.685,150.091,149.134,149.584,415319,0,415318
4112,2017-10-25,149.507,151.395,149.281,150.849,512389,0,512499
4113,2017-10-26,150.752,150.901,149.764,150.031,452331,0,452338
4114,2017-10-27,149.959,150.045,148.892,149.237,473996,0,473995
4115,2017-10-30,149.183,150.013,149.106,149.476,357835,0,357838
4116,2017-10-31,149.462,151.067,149.192,150.938,387881,0,387884
4117,2017-11-01,150.902,151.944,150.835,151.244,405340,0,405339
4118,2017-11-02,151.206,151.519,148.665,148.983,455932,0,455931
4119,2017-11-03,148.96,149.536,148.71,149.145,362012,0,362012
4120,2017-11-06,148.957,149.901,148.956,149.785,387875,0,387875
4121,2017-11-07,149.724,150.326,149.655,150.075,375442,0,375446
4122,2017-11-08,150.061,150.129,148.54,149.353,366647,0,366647
4123,2017-11-09,149.3,149.697,148.447,149.167,488706,0,488705
4124,2017-11-10,149.113,150.004,148.838,149.713,412323,0,412322
4125,2017-11-13,149.27,149.681,148.057,149.03,388943,0,388943
4126,2017-11-14,149.002,149.578,148.617,149.36,398175,0,398174
4127,2017-11-15,149.355,149.368,148.093,148.656,530456,0,530471
4128,2017-11-16,148.63,149.459,148.519,149.157,433218,0,433217
4129,2017-11-17,149.134,149.317,147.933,148.222,467533,0,467544
4130,2017-11-20,148.156,149.234,147.63,149.034,241333,0,0
4131,2017-11-21,148.994,149.372,148.618,148.848,191172,0,0
4132,2017-11-22,148.815,148.967,148.015,148.186,195524,0,0
4133,2017-11-23,148.147,148.48,147.81,148.006,144954,0,0
4134,2017-11-24,147.968,148.984,147.885,148.674,194411,0,0
4135,2017-11-27,148.419,148.864,147.837,147.97,183009,0,0
4136,2017-11-28,147.911,149.288,146.975,148.706,249025,0,0
4137,2017-11-29,148.635,150.437,148.579,150.096,262903,0,0
4138,2017-11-30,150.04,152.412,149.954,152.238,267497,0,0
4139,2017-12-01,152.171,152.482,150.581,151.141,315038,0,0
4140,2017-12-04,151.47,152.95,151.234,151.522,266868,0,0
4141,2017-12-05,151.502,151.813,150.524,151.336,211608,0,0
4142,2017-12-06,151.299,151.394,149.758,150.39,224556,0,0
4143,2017-12-07,150.325,152.465,150.14,152.361,205866,0,0
4144,2017-12-08,152.366,153.408,151.633,151.951,209286,0,0
4145,2017-12-11,151.794,152.344,151.234,151.469,164194,0,0
4146,2017-12-12,151.436,151.76,151.027,151.211,156135,0,0
4147,2017-12-13,151.194,151.511,150.458,150.977,193756,0,0
4148,2017-12-14,150.98,151.889,150.52,150.964,215349,0,0
4149,2017-12-15,150.89,151.025,149.412,149.972,197222,0,0
4150,2017-12-18,149.964,151.032,149.618,150.603,163698,0,0
4151,2017-12-19,150.591,151.272,150.371,151.101,169079,0,0
4152,2017-12-20,151.073,152.013,150.972,151.66,161332,0,0
4153,2017-12-21,151.64,151.918,151.272,151.677,142520,0,0
4154,2017-12-22,151.656,151.857,151.189,151.278,139387,0,0
4155,2017-12-26,151.189,151.584,151.189,151.444,86434,0,0
4156,2017-12-27,151.427,152.09,151.281,151.858,148211,0,0
4157,2017-12-28,151.788,151.985,151.493,151.724,111653,0,0
4158,2017-12-29,151.616,152.511,151.529,152.04,140178,0,0
4159,2018-01-02,152.107,152.743,151.866,152.635,146566,0,0
4160,2018-01-03,152.549,152.827,151.755,152.08,145131,0,0
4161,2018-01-04,151.983,152.981,151.95,152.79,147105,0,0
4162,2018-01-05,152.724,153.639,152.642,153.384,143237,0,0
4163,2018-01-08,153.29,153.672,152.872,153.428,122892,0,0
4164,2018-01-09,153.401,153.572,151.943,152.52,169496,0,0
4165,2018-01-10,152.517,152.602,150.36,150.51,218863,0,0
